,공원명,공원구분,소재지주소,위도,경도,공원면적
1381,소나무,어린이공원,경상남도 창원시 의창구 사림동 50,35.24267475,128.687487,1038.0
1382,기업사랑공원,근린공원,경상남도 창원시 성산구 가음정동 114-4,35.209588000000004,128.686545,63214.0
1383,신촌공원,근린공원,경상남도 창원시 성산구 양곡동 815,35.21098936,128.621328,42000.0
1384,월림공원,근린공원,경상남도 창원시 성산구 창곡동 산12,35.207928,128.646931,246340.0
1385,양곡공원,근린공원,경상남도 창원시 성산구 양곡동 1089,35.182773,128.6432,640330.0
1386,남지공원,근린공원,경상남도 창원시 성산구 상복동 58-2,35.195665999999996,128.671599,1134813.0
1387,대상공원,근린공원,경상남도 창원시 성산구 중앙동 150-3,35.221002,128.6730869,1111815.0
1388,상남공원,근린공원,경상남도 창원시 성산구 상남동 89-1,35.21652257,128.6871509,13790.0
1389,불모산공원,근린공원,경상남도 창원시 성산구 삼정자동 산56-6,35.22615288,128.6993041,91488.0
1390,삼정자공원,근린공원,경상남도 창원시 성산구 성주동 144-1,35.197165999999996,128.7078519,233102.0
1391,가음정공원,근린공원,경상남도 창원시 성산구 가음정동 73,35.212174,128.688857,881673.0
1392,대상공원,근린공원,경상남도 창원시 성산구 중앙동 150-3,35.221002,128.6730869,1111815.0
1393,상남공원,근린공원,경상남도 창원시 성산구 상남동 89-1,35.21652257,128.6871509,13790.0
1394,불모산공원,근린공원,경상남도 창원시 성산구 삼정자동 산56-6,35.22615288,128.6993041,91488.0
1395,삼정자공원,근린공원,경상남도 창원시 성산구 성주동 144-1,35.197165999999996,128.7078519,233102.0
1396,가음정공원,근린공원,경상남도 창원시 성산구 가음정동 73,35.212174,128.688857,881673.0
1397,반송공원,근린공원,경상남도 창원시 성산구 반송동 157,35.238749,128.673685,604050.0
1398,한들공원,소공원,경상남도 창원시 의창구 봉림동 521,35.25513465,128.6675439,29701.0
1399,하늘길생태,어린이공원,경상남도 창원시 의창구 중동 761-1,35.26009844,128.6290563,2622.0
1400,느티나무생태,어린이공원,경상남도 창원시 의창구 서상동 672-5,35.258855,128.6246915,3814.0
1401,삼봉공원,어린이공원,경상남도 창원시 의창구 대산면 가술리 823-2,35.331931,128.69368500000002,2648.0
1402,일동1호,어린이공원,경상남도 창원시 의창구 대산면 일동리 840-2,35.366454,128.69365200000001,1500.0
1403,신리,어린이공원,경상남도 창원시 의창구 북면 신촌리 842-1,35.347509,128.604448,1754.0
1404,191호,어린이공원,경상남도 창원시 의창구 북면 감계리 228,35.30296292,128.5930344,5662.0
1405,120호,어린이공원,경상남도 창원시 의창구 북면 감계리 238-10,35.29974134,128.5954905,3186.0
1406,119호,어린이공원,경상남도 창원시 의창구 북면 감계리 266-2,35.298927,128.59215700000001,1862.0
1407,거님길 가족쉼터,어린이공원,경상남도 창원시 의창구 명서동 111-4,35.242723,128.641202,1607.0
1408,청석,어린이공원,경상남도 창원시 성산구 반지동 51,35.241186,128.6636617,5063.0
1409,신덕,어린이공원,경상남도 창원시 성산구 사파동 18-1,35.229849,128.697467,1362.0
1410,다솜,어린이공원,경상남도 창원시 성산구 남양동 21,35.212382,128.700975,3421.0
1411,나래,어린이공원,경상남도 창원시 성산구 남양동 33,35.2078314,128.703001,1337.0
1412,토월공원,근린공원,경상남도 창원시 성산구 사파동 160-1,35.230526,128.69716599999998,591693.0
1413,창원묘지공원,묘지공원,경상남도 창원시 성산구 상복동 591,35.19185782,128.6636211,499880.0
1414,209호,소공원,경상남도 창원시 성산구 사파동 24-5,35.228231,128.69908700000002,529.0
1415,49호,소공원,경상남도 창원시 성산구 성주동 80,35.187852,128.707491,3463.0
1416,39호,소공원,경상남도 창원시 성산구 불모산동 331-2,35.188731,128.723793,866.0
1417,31호,소공원,경상남도 창원시 성산구 상남동 65-3,35.216122,128.67800400000002,2724.0
1418,황새,어린이공원,경상남도 창원시 성산구 중앙동 37-4,35.224844,128.673337,1247.0
1419,먼등,어린이공원,경상남도 창원시 성산구 대방동 333-3,35.215727,128.705873,508.0
1420,금강,어린이공원,경상남도 창원시 성산구 반지동 64-1,35.23882765,128.6640642,2231.0
1421,31호,어린이공원,경상남도 창원시 성산구 반지동 53-3,35.24104267,128.6648406,1648.0
1422,청석,어린이공원,경상남도 창원시 성산구 반지동 51,35.241186,128.6636617,5063.0
